Entity,Code,Year,san_sm_number_without
Albania,ALB,2000,1870118
Albania,ALB,2001,1861518
Albania,ALB,2002,1850444
Albania,ALB,2003,1836933
Albania,ALB,2004,1820842
Albania,ALB,2005,1794188
Albania,ALB,2006,1764569
Albania,ALB,2007,1732679
Albania,ALB,2008,1700259
Albania,ALB,2009,1669547
Albania,ALB,2010,1642153
Albania,ALB,2011,1618533
Albania,ALB,2012,1598238
Albania,ALB,2013,1580777
Albania,ALB,2014,1565336
Albania,ALB,2015,1551257
Albania,ALB,2016,1538498
Albania,ALB,2017,1527101
Albania,ALB,2018,1516496
Albania,ALB,2019,1510257
Albania,ALB,2020,1505346
Algeria,DZA,2000,24363588
Algeria,DZA,2001,24736028
Algeria,DZA,2002,25105663
Algeria,DZA,2003,25481235
Algeria,DZA,2004,25873456
Algeria,DZA,2005,26290821
Algeria,DZA,2006,26736817
Algeria,DZA,2007,27212347
Algeria,DZA,2008,27720009
Algeria,DZA,2009,28261320
Algeria,DZA,2010,28837081
Algeria,DZA,2011,29447533
Algeria,DZA,2012,30114445
Algeria,DZA,2013,30811822
Algeria,DZA,2014,31534666
Algeria,DZA,2015,32277772
Algeria,DZA,2016,33039871
Algeria,DZA,2017,33817201
Algeria,DZA,2018,34599262
Algeria,DZA,2019,35372793
Algeria,DZA,2020,36127739
Andorra,AND,2000,55840
Andorra,AND,2001,52671
Andorra,AND,2002,49753
Andorra,AND,2003,46720
Andorra,AND,2004,43201
Andorra,AND,2005,39020
Andorra,AND,2006,34251
Andorra,AND,2007,29024
Andorra,AND,2008,23413
Andorra,AND,2009,17512
Andorra,AND,2010,11443
Andorra,AND,2011,5331
Andorra,AND,2012,0
Andorra,AND,2013,0
Andorra,AND,2014,0
Andorra,AND,2015,0
Andorra,AND,2016,0
Andorra,AND,2017,0
Andorra,AND,2018,0
Andorra,AND,2019,0
Andorra,AND,2020,0
Argentina,ARG,2000,19230104
Argentina,ARG,2001,19363208
Argentina,ARG,2002,19495008
Argentina,ARG,2003,19624845
Argentina,ARG,2004,19751609
Argentina,ARG,2005,19874753
Argentina,ARG,2006,19993827
Argentina,ARG,2007,20109632
Argentina,ARG,2008,20224141
Argentina,ARG,2009,20340050
Argentina,ARG,2010,20459096
Argentina,ARG,2011,20582292
Argentina,ARG,2012,20708499
Argentina,ARG,2013,20837139
Argentina,ARG,2014,20963790
Argentina,ARG,2015,21086441
Argentina,ARG,2016,21204483
Armenia,ARM,2000,1649480
Armenia,ARM,2001,1636635
Armenia,ARM,2002,1625264
Armenia,ARM,2003,1614384
Armenia,ARM,2004,1602919
Armenia,ARM,2005,1590291
Armenia,ARM,2006,1535439
Armenia,ARM,2007,1480323
Armenia,ARM,2008,1425734
Armenia,ARM,2009,1373932
Armenia,ARM,2010,1326191
Armenia,ARM,2011,1282691
Armenia,ARM,2012,1242326
Armenia,ARM,2013,1203535
Armenia,ARM,2014,1164350
Armenia,ARM,2015,1123477
Armenia,ARM,2016,1082360
Armenia,ARM,2017,1042020
Armenia,ARM,2018,1000371
Armenia,ARM,2019,953489
Armenia,ARM,2020,908851
Australia,AUS,2000,7826580
Australia,AUS,2001,7910338
Australia,AUS,2002,7995517
Australia,AUS,2003,8087334
Australia,AUS,2004,8192625
Australia,AUS,2005,8120692
Australia,AUS,2006,8062173
Australia,AUS,2007,8013127
Australia,AUS,2008,7966215
Australia,AUS,2009,7912208
Australia,AUS,2010,7844893
Australia,AUS,2011,7762701
Australia,AUS,2012,7667282
Australia,AUS,2013,7559915
Australia,AUS,2014,7442780
Australia,AUS,2015,7317378
Australia,AUS,2016,7183741
Australia,AUS,2017,7041341
Australia,AUS,2018,6890397
Australia,AUS,2019,6731124
Australia,AUS,2020,6563798
Australia and New Zealand,,2000,9122049
Australia and New Zealand,,2001,9192726
